CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
ENGL 69 (30051),Lit by Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:14 AM - 1:15am,ONLINE,"Griffin, Allia Ida",4.00,12
ETHN 69 (30058),Lit by Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:14 AM - 1:15am,ONLINE,"Griffin, Allia Ida",4.00,12
ETHN 96 (30055),"Race,Class & Culture thru Film","American Studies (Pathway), Cinema Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:22 AM - 1:23am,ONLINE,"Fernandez, Jesica Siham",4.00,1
ETHN 132 (30059),The History of Hip Hop,"American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:22 AM - 1:23am,ONLINE,"Zanfagna, Christina M",5.00,3
ETHN 152 (30056),Multi-Racial Identities,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:24 AM - 1:25am,ONLINE,"Nanda, Aparajita",5.00,None
HIST 96B (30060),US:Globalization/Reform/War,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity",MWR 10:20 AM - 12:30pm,ONLINE,"Brillman, Michael",4.00,2
MUSC 132 (30073),The History of Hip Hop,"American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 01:22 AM - 1:23am,ONLINE,"Zanfagna, Christina M",5.00,3
POLI 1 (30093),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWR 01:30 AM - 1:31am,ONLINE,"Harrigan, Matthew Thomas",4.00,8
POLI 1 (30097),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWR 01:30 AM - 1:31am,ONLINE,"Harrigan, Matthew Thomas",4.00,9
RSOC 51 (30108),Religion in America,"American Studies (Pathway), Religion Theology & Culture 2",MWR 01:46 AM - 1:47am,ONLINE,"Drescher, Elizabeth",4.00,3
RSOC 51 (30120),Religion in America,"American Studies (Pathway), Religion Theology & Culture 2",MWR 01:48 AM - 1:49am,ONLINE,"Lampley, Karl Willie",4.00,2
RSOC 61 (30588),Atheism in America,"American Studies (Pathway), Religion Theology & Culture 2",MWR 01:46 AM - 1:47am,ONLINE,"Drescher, Elizabeth",4.00,12
RSOC 184 (30111),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MWR 01:58 AM - 1:59am,ONLINE,"Moles, Kathryn Rose Sharie",5.00,5
SOCI 33 (30133),Social Problems in the U.S.,"American Studies (Pathway), Feeding the World (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWR 02:04 AM - 2:05am,ONLINE,"Shamash, Rebecca",4.00,9
WGST 15 (30136),Lit by Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWR 01:14 AM - 1:15am,ONLINE,"Griffin, Allia Ida",4.00,12
MGMT 6 (30148),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MWR 02:20 AM - 2:21am,ONLINE,"Jacobus, Laura Elizabeth",4.00,1
PHIL 21A (30074),Introduction to Ethics,"Applied Ethics (Pathway), Ethics",MWR 01:26 AM - 1:27am,ONLINE,"Buckley, Brian J",4.00,9
PHIL 22 (30075),Ethics in the Digital Age,"Applied Ethics (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Ethics",MWR 01:28 AM - 1:29am,ONLINE,"Keyser, Vadim",4.00,None
