CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
ANTH 157 (35565),"Family, Kin & Culture","American Studies (Pathway), Children, Family, & Society (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 11:45 AM - 12:50pm,KENNA 104,"Grace, Samantha Lois",5.00,4
ANTH 170 (35567),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,OCONR 206,"Jegathesan, Mythri",5.00,None
ANTH 189 (35568),1st Americans: US Archaeology,"American Studies (Pathway), Diversity, Science Technology & Society",MWF 01:00 PM - 2:05pm,VARI 134,"Chiykowski-Rathke, Tanya",5.00,None
ENGL 38 (36027),Intro to Asian-American Lit,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 02:15 PM - 3:20pm,OCONR 204,"Chen, Lilly",4.00,None
ENGL 135 (35630),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,ONLINE,"Morgan, Danielle Fuentes",5.00,None
ENGL 169A (35632),"Women, Literature and Theory","American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,ONLINE,"Edelstein, Marilyn J",5.00,6
ETHN 30 (35642),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,ONLINE,"Hazard, Anthony Q",4.00,None
ETHN 40 (34581),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,KENNA 308,"Lai, James S",4.00,None
ETHN 130 (35645),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,ONLINE,"Morgan, Danielle Fuentes",5.00,None
ETHN 137 (36684),AfricnAmericn PursuitofFreedom,"American Studies (Pathway), Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Civic Engagement",MWF 01:00 PM - 2:05pm,WALSH MULP,"Odamtten, Harry Nii Koney",5.00,None
ETHN 153 (34587),Minority Politics in the US,"American Studies (Pathway), Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 03:30 PM - 4:35pm,DOWD 210,"Lai, James S",5.00,1
ETHN 166 (36320),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 03:50 PM - 5:30pm,KENNA 306,"Moles, Kathryn Rose Sharie",5.00,None
ETHN 166 (35647),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 04:45 PM - 6:30pm,KENNA 214,"Lampley, Karl Willie",5.00,None
ETHN 166 (36319),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,KENNA 218,"Moles, Kathryn Rose Sharie",5.00,None
HIST 70 (35648),The American Revolution,"American Studies (Pathway), Civic Engagement",TR 02:00 PM - 3:40pm,ONLINE,"Wigmore, Gregory Stephen",4.00,None
HIST 84 (34563),US Women's History,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Diversity",MWF 09:15 AM - 10:20am,MDF 119,"Unger, Nancy C",4.00,None
HIST 84 (35486),US Women's History,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Diversity",MWF 11:45 AM - 12:50pm,DOWD 210,"Unger, Nancy C",4.00,None
HIST 96A (34570),US to 1877,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity",TR 05:40 PM - 7:20pm,ONLINE,"Wigmore, Gregory Stephen",4.00,1
HIST 96B (35650),US:Globalization/Reform/War,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity",MW 03:30 PM - 5:15pm,KENNA 105,"Gomez, Sonia",4.00,None
HIST 155 (35654),AfricnAmericn PursuitofFreedom,"American Studies (Pathway), Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Civic Engagement",MWF 01:00 PM - 2:05pm,WALSH MULP,"Odamtten, Harry Nii Koney",5.00,None
HIST 170 (35655),The American Revolution,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",TR 02:00 PM - 3:40pm,ONLINE,"Wigmore, Gregory Stephen",5.00,None
MILS 176 (35560),US Military History,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway)",TR 10:20 AM - 12pm,VARSI 231,"Strain, Christopher John",3.00,18
PHIL 33 (35681),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics",TR 02:00 PM - 3:40pm,ONLINE,"Clardy, Justin",4.00,1
POLI 1 (34671),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 08:00 AM - 9:05am,KENNA 111,"Kerelian, Narine",4.00,18
POLI 1 (34674),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",TR 08:30 AM - 10:10am,KENNA 111,"Meredith, Thomas",4.00,4
POLI 1 (34662),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 09:15 AM - 10:20am,DALY 206,"Harrigan, Matthew Thomas",4.00,2
POLI 1 (34667),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 10:30 AM - 11:35am,OCONR 206,"Kerelian, Narine",4.00,None
POLI 1 (34668),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 11:45 AM - 12:50pm,LUCAS 208,"Harrigan, Matthew Thomas",4.00,1
POLI 153 (34681),Minority Politics in the US,"American Studies (Pathway), Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 03:30 PM - 4:35pm,DOWD 210,"Lai, James S",5.00,1
RSOC 21 (35923),Urban Religion,"American Studies (Pathway), Religion Theology & Culture 2",MW 03:30 PM - 5:15pm,ALAM 105,"Drescher, Elizabeth",4.00,2
RSOC 51 (34953),Religion in America,"American Studies (Pathway), Religion Theology & Culture 2",MWF 01:00 PM - 2:05pm,KENNA 308,"Lampley, Karl Willie",4.00,None
RSOC 51 (34956),Religion in America,"American Studies (Pathway), Religion Theology & Culture 2",T 06:00 PM - 9:15pm,KENNA 111,"Wright, Jaime D.",4.00,None
RSOC 184 (36318),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 03:50 PM - 5:30pm,KENNA 306,"Moles, Kathryn Rose Sharie",5.00,None
RSOC 184 (34963),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 04:45 PM - 6:30pm,KENNA 214,"Lampley, Karl Willie",5.00,None
RSOC 184 (36317),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,KENNA 218,"Moles, Kathryn Rose Sharie",5.00,None
SOCI 33 (35714),Social Problems in the U.S.,"American Studies (Pathway), Feeding the World (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,ONLINE,"King, Molly Mccarthy",4.00,None
WGST 50 (35120),Intro:Women's & Gender Studies,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TR 03:50 PM - 5:30pm,OCONR 109,"Sharangpani, Mukta H",4.00,None
WGST 57 (35114),Women in American Society,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Diversity",MWF 09:15 AM - 10:20am,MDF 119,"Unger, Nancy C",4.00,None
WGST 57 (35500),Women in American Society,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Diversity",MWF 11:45 AM - 12:50pm,DOWD 210,"Unger, Nancy C",4.00,None
WGST 144 (35720),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,OCONR 206,"Jegathesan, Mythri",5.00,None
