CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS
ANTH 4 (39662),Vanished Peoples & Lost Civ,"American Studies (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,OCONR 207,"Washburn, Eden",4.00
ANTH 4 (39662),Vanished Peoples & Lost Civ,"American Studies (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,OCONR 207,"Washburn, Eden",4.00
ANTH 4 (39662),Vanished Peoples & Lost Civ,"American Studies (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,OCONR 207,"Washburn, Eden",4.00
ANTH 4 (39662),Vanished Peoples & Lost Civ,"American Studies (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,OCONR 207,"Washburn, Eden",4.00
ANTH 4 (39662),Vanished Peoples & Lost Civ,"American Studies (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,OCONR 207,"Washburn, Eden",4.00
ANTH 4 (39662),Vanished Peoples & Lost Civ,"American Studies (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,OCONR 207,"Washburn, Eden",4.00
ANTH 4 (39662),Vanished Peoples & Lost Civ,"American Studies (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,OCONR 207,"Washburn, Eden",4.00
ARTH 143 (39667),Women's Work,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Human Rights (Pathway), Justice and the Arts (Pathway), Diversity",TR 02:00 PM - 3:40pm,DOWD 210,"Pappas, Andrea",5.00
ARTH 143 (39667),Women's Work,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Human Rights (Pathway), Justice and the Arts (Pathway), Diversity",TR 02:00 PM - 3:40pm,DOWD 210,"Pappas, Andrea",5.00
ARTH 143 (39667),Women's Work,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Human Rights (Pathway), Justice and the Arts (Pathway), Diversity",TR 02:00 PM - 3:40pm,DOWD 210,"Pappas, Andrea",5.00
ARTH 143 (39667),Women's Work,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Human Rights (Pathway), Justice and the Arts (Pathway), Diversity",TR 02:00 PM - 3:40pm,DOWD 210,"Pappas, Andrea",5.00
ARTH 143 (39667),Women's Work,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Human Rights (Pathway), Justice and the Arts (Pathway), Diversity",TR 02:00 PM - 3:40pm,DOWD 210,"Pappas, Andrea",5.00
ARTH 143 (39667),Women's Work,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Human Rights (Pathway), Justice and the Arts (Pathway), Diversity",TR 02:00 PM - 3:40pm,DOWD 210,"Pappas, Andrea",5.00
