COURSE TAG,COURSE NAME,CORES SATISFIED
ANTH 157 (50014),"Family, Kin & Culture","American Studies (Pathway), Children, Family, & Society (Pathway), Gender, Sexuality & the Body (Pathway), Diversity"
ANTH 170 (50016),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity"
ARTH 140 (51538),Photography in the U.S.,"American Studies (Pathway), Beauty (Pathway), Justice and the Arts (Pathway), Values Science Technology (Pathway), Diversity"
COMM 166 (51589),News and Democracy,"American Studies (Pathway), Democracy (Pathway), Civic Engagement"
ENGL 38 (50397),Intro to Asian-American Lit,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
ENGL 169A (50392),"Women, Literature and Theory","American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
ETHN 5 (51620),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
ETHN 5 (51621),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
ETHN 30 (50443),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
ETHN 30 (51455),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
ETHN 40 (50437),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
ETHN 153 (50442),Minority Politics in the US,"American Studies (Pathway), Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
ETHN 166 (50448),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3"
HIST 60 (51633),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity"
HIST 72 (51634),Civil War Era,"American Studies (Pathway), Democracy (Pathway), Paradigm Shifts (Pathway), Diversity"
HIST 84 (50480),US Women's History,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Diversity"
HIST 84 (50471),US Women's History,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Diversity"
HIST 96A (50475),US to 1877,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity"
HIST 96B (50482),US:Globalization/Reform/War,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity"
HIST 160 (51742),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity"
HIST 172 (51641),The Civil War Era,"American Studies (Pathway), Democracy (Pathway), Paradigm Shifts (Pathway), Diversity"
MILS 176 (51428),US Military History,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway)"
MUSC 132 (51648),The History of Hip Hop,"American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
PHIL 33 (50710),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics"
POLI 1 (50770),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement"
POLI 1 (50767),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement"
POLI 1 (50761),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement"
POLI 1 (50772),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement"
POLI 1 (50766),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement"
POLI 153 (50778),Minority Politics in the US,"American Studies (Pathway), Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
POLI 154 (51670),Women and Politics,"American Studies (Pathway), Diversity"
RSOC 21 (50829),Urban Religion,"American Studies (Pathway), Religion Theology & Culture 2"
RSOC 51 (50817),Religion in America,"American Studies (Pathway), Religion Theology & Culture 2"
RSOC 51 (51480),Religion in America,"American Studies (Pathway), Religion Theology & Culture 2"
RSOC 111R (51681),RSS:Inventing Religion in Amer,"American Studies (Pathway), Religion Theology & Culture 3"
RSOC 184 (50824),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3"
SOCI 33 (50853),Social Problems in the U.S.,"American Studies (Pathway), Feeding the World (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
